#Date Time	Lux	CLA	CS	Activity
03/11/2013 15:43:30	58.4721	65.9502	0.0944	0.8447
03/11/2013 15:44:00	5.6268	3.3469	0.0041	0.0584
03/11/2013 15:44:30	102.6822	107.2291	0.1473	0.9842
03/11/2013 15:45:00	13.1992	15.3749	0.0213	0.5572
03/11/2013 15:45:30	31.2304	33.4224	0.0481	0.4267
03/11/2013 15:46:00	85.1533	84.1703	0.1187	0.9276
03/11/2013 15:46:30	16.0613	19.6621	0.0276	0.2303
03/11/2013 15:47:00	137.3500	142.4335	0.1870	1.0258
03/11/2013 15:47:30	57.2239	27.4904	0.0393	0.9276
03/11/2013 15:48:00	385.6219	266.4231	0.2947	0.4844
03/11/2013 15:48:30	148.0622	181.2472	0.2256	0.8962
03/11/2013 15:49:00	219.1189	122.2251	0.1648	1.0103
03/11/2013 15:49:30	178.2149	89.4872	0.1255	0.9695
03/11/2013 15:50:00	323.3419	396.6398	0.3710	0.6938
03/11/2013 15:50:30	331.3774	175.3153	0.2200	0.7819
03/11/2013 15:51:00	188.4299	226.6438	0.2648	1.0170
03/11/2013 15:51:30	415.5406	487.7690	0.4103	0.4145
03/11/2013 15:52:00	402.0977	466.4933	0.4019	0.4874
03/11/2013 15:52:30	450.1352	520.4673	0.4224	0.2022
03/11/2013 15:53:00	452.1783	521.3589	0.4227	0.0382
03/11/2013 15:53:30	450.0621	517.9612	0.4215	0.0382
03/11/2013 15:54:00	452.1783	521.3589	0.4227	0.1819
03/11/2013 15:54:30	452.1051	518.8528	0.4218	0.0540
03/11/2013 15:55:00	448.5213	512.0584	0.4194	0.0825
03/11/2013 15:55:30	446.4052	508.6607	0.4181	0.1413
03/11/2013 15:56:00	130.1433	147.2753	0.1921	0.8544
03/11/2013 15:56:30	42.8647	44.5120	0.0643	0.6424
03/11/2013 15:57:00	68.3710	69.3598	0.0991	0.7649
03/11/2013 15:57:30	70.6328	70.4110	0.1005	0.9365
03/11/2013 15:58:00	45.7019	43.0580	0.0622	0.7594
03/11/2013 15:58:30	113.3015	98.4282	0.1366	0.9274
03/11/2013 15:59:00	106.0805	127.4417	0.1707	0.7004
03/11/2013 15:59:30	299.9569	335.8225	0.3389	0.7715
03/11/2013 16:00:00	320.6065	352.2564	0.3481	0.7132
03/11/2013 16:00:30	118.9871	132.7920	0.1766	0.4617
03/11/2013 16:01:00	163.4409	179.9717	0.2244	0.7098
03/11/2013 16:01:30	193.3010	210.8859	0.2518	0.3672
